#  MinPrice,  MaxPrice,  ModalPrice
703.83,2141.34,1366.17
706.13,2023.45,1311.81
705.34,1921.07,1264.49
702.23,1832.66,1222.36
697.36,1755.34,1184.40
691.12,1686.99,1149.83
683.83,1625.99,1118.06
675.74,1571.06,1088.64
667.04,1521.21,1061.20
657.90,1475.65,1035.48
648.44,1433.74,1011.25
638.77,1394.97,988.34
628.99,1358.92,966.59
619.17,1325.24,945.90
609.37,1293.67,926.17
599.64,1263.96,907.32
590.04,1235.92,889.28
580.59,1209.38,872.02
571.32,1184.22,855.48
562.27,1160.33,839.62
553.45,1137.59,824.41
544.88,1115.94,809.82
536.57,1095.30,795.83
528.53,1075.61,782.42
520.76,1056.82,769.57
513.27,1038.88,757.25
506.07,1021.75,745.46
499.15,1005.40,734.17
492.51,989.79,723.37
486.14,974.88,713.04
